,Sentence,Hate-Speech
23284,ఇదిలా ఉండగా ఎయిర్‌ఇండియా 2018-19 ఆర్థిక సంవత్సరం ఖాతాలను జూన్‌ 30లోగా పూర్తి చేయాలని ప్రభుత్వం ఎయిర్‌ఇండియాను ఆదేశించింది,no
30550,ఇక ఈ చిత్రానికి వాసూరావు సంగీతాన్ని అందించనున్నారు.,no
24541,తాము డాక్టర్లకు రక్షణ కల్పించడాన్ని వ్యతిరేకించడం లేదని,no
4480,రెండో టీ20తో సిరీస్‌ కైవశం చేసుకోవడానికి తహతహలాడుతుంటే తమకు అచ్చొచ్చిన ఫార్మాట్‌ను విజయంతో ఆరంభించాలని చూసిన విండీస్‌కు ఓటమి నిరాశే మిగిల్చింది.,no
27925,దేవిశ్రీప్రసాద్‌ పాటలలో చివరి రెండు పాటలు హృద్యంగా అనిపిస్తాయి,no
23374,కోమట్ రెడ్డిని పార్టీలో చేర్చుకొనేందుకు బీజేపీ ఆసక్తి చూపుతోంది,no
30712,ఈ వీడియో చూశాక సమంత కూడా ఇంప్రెస్‌ అవకుండా ఉండలేకపోయింది.,no
25281,అలాంటిది కార్తికేయ ఒక్క సినిమాకి ఇలా రెచ్చిపోతున్నాడేంటి చెప్మా  అనిపించింది వాళ్లంద‌రికీ,no
10527,57 బంతుల్లో శతకం అందుకున్నాడు,no
14283,"తెలుగుదేశం అధినేత, ఆంధ్రప్రదేశ్ ముఖ్యమంత్రి నారా చంద్రబాబునాయుడు ఢిల్లీ నుంచి లక్నో బయల్దేరారు.
",no
32007,స్వరాలకు అంకితం అయిపోయిన తమ కుటుంబం నుంచి ఇలా ఓ అమ్మాయి ఎంట్రీ ఇవ్వడంపై ఆ మాత్రం ఉత్సుకత ఉండటం సహజం.,no
808,రణ్‌వీర్‌ ప్రధాన పాత్రలో ‘గల్లీ బారు’ చిత్రం తెరకెక్కింది.,no
30683,ప్రభుత్వ రంగ బ్యాంకుల్లో బీవోబీ రెండో అతిపెద్ద బ్యాంక్‌గా ఉన్నది.,no
15363,"2020వ సంవత్సరానికి గాను 12 పేజీల క్యాలెండర్లు, చిన్న డైరీలు, పెద్ద డైరీలు, శ్రీవారి పెద్ద క్యాలెండరు, శ్రీ పద్మావతి మరియు శ్రీవారి క్యాలెండర్ల‌ను మ‌రింత ఆక‌ర్ష‌ణీయంగా రూపొందించాల‌న్నారు.
",no
33341,”కాన్సెప్ట్‌ టీజర్‌కి మంచి స్పందన లభించింది.,no
34956,"అయితే హిందీ సినిమాలోని మ్యాజిక్‌ను తెలుగులో రిపీట్‌ చేయగలరా అనేది వేచిచూడాలి.
",no
12819,"కడప, కర్నూలు, నెల్లూరు, ప్రకాశం, గుంటూరు, కృష్ణా జిల్లాల్లో జల్లులు పడే అవకాశం ఉంది.
",no
1955,ఫైనల్లో భారత్‌-పాక్‌ తలపడాల్సి వస్తే… పాక్‌ మ్యాచ్‌ ఆడకుండానే వరల్డ్‌ కప్‌ గెలుస్తుందని అంటున్నారు.,no
3329,"చివరి ఇన్నింగ్స్‌లో కనీసం 4 పరుగులు చేసి ఉంటే,ఆయన బ్యాటింగ్‌ యావరేజ్‌ 100గా ఉండేది.",no
9927,బాలుర సింగిల్స్‌లో సాయి చరణ్‌ రెండో రౌండ్‌ చేరాడు,no
16138,"జగన్ మోహన్ రెడ్డికి అభినందనలు తెలియచేస్తున్నట్లు.
",no
33053,"అన్నా బోడెన్‌, ర్యాన్‌ ఫ్లెక్‌ సంయుక్తంగా దర్శకత్వం వహించిన ”అవెంజర్స్‌: కెప్టెన్‌ మార్వెల్‌’ శుక్రవారం ప్రేక్షకుల ముందుకు వచ్చి మంచి టాక్‌ అందుకుంది.",no
28229,"అక్కడక్కడా కామెడీ పరవాలేదనిపించినా పూర్తిస్థాయిలో ఆకట్టుకునేలా లేదు.
",no
6128,"ఎందుకో బంగ్లాపై చిన్న చూపే.
",no
20542,కేసు నమోదు చేసుకుని దర్యాప్తు జరుపుతున్నారు,no
30952,గూగుల్‌లో సెర్చ్‌ చేసిన సమాచారం ప్రకారం ఆయన వార్షిక ఆదాయం ఏడాదికి 1200 కోట్లకు పైమాటే.,no
14861,"ఇప్పటికీ అలాంటి ప్రచారానికి ఫుల్‌స్టాప్ పడలేదు.
",no
3199,ఒకవేళ ఉంటే గాయపడని బౌలర్‌ను చూపించండి.,no
27496,క్రియేటివ్ కమర్షియల్స్ బ్యానర్‌పై ఈ కొత్త ప్రాజెక్టు తెరకెక్కుతోంది,no
1386,"ప్రస్తుతం ద్రావిడ్‌ ఇండియా అండర్‌-19, ఇండియా-ఏ జట్లకు ప్రధాన కోచ్‌గా వ్యవహరిస్తున్నాడు.",no
9949,అనంతరం ఛేదనలో రమేశ్‌ 7 చెలరేగడంతో సెంట్రల్‌ పార్క్‌ జట్టు 8 వికెట్లు కోల్పోయి 17:3 ఓవర్లలో లక్ష్యాన్ని అందుకుంది,no
30175,10 మిలియన్ల డిజిటల్‌ వ్యూస్‌తో దూసుకుపోయింది.,no
8916,"ఆసీస్‌ ఆటగాళ్లలో బెన్‌ మెక్‌డెర్మాట్‌(21), మిచెల్‌ మార్ష్‌(21)లదే అత్యధిక స్కోరు కావడం గమనార్హం.
",no
29918,ఎందుకంటే టీజర్ తో చైతుని లిప్ లాక్ కిస్ తో కిక్ ఇచ్చిన తర్వాత మళ్ళి ట్రైలర్ లోనే కనిపించింది.,no
9451,అనంతరం ఛేదనలో యూనివర్సిటీ కాలేజ్‌ ఆఫ్‌ సైన్స్‌ 10 ఓవర్లలో 4 వికెట్లకు 94 పరుగులే చేయగలిగింది,no
27932,ఎమోషనల్‌ సీన్స్‌లో మహేష్‌ నటన గురించి కొత్తగా చెప్పేదేముంది,no
7202,"ఇక టీమిండియా లాంటి మేటి జట్టుపై విజయం సాధించడం ఎప్పటికీ ప్రత్యేకమే’ అని పేర్కొన్నాడు.
",no
4623,"వారెవరో ఓ లుక్కేద్దాం, పోస్టర్‌ బారు అదుర్స్.",no
8373,"కార్తీక్‌ను కేవలం టీ20 బ్యాట్స్‌ మెన్‌గానే సెలక్టర్లు పరిగణిస్తున్నట్లు తెలుస్తుంది.
",no
19083,"ఇవాళ ఉదయం ఏఐసీసీ ఛైర్‌పర్సన్‌ సోనియాగాంధీతో కూడా ఇవాళ ఉదయం భేటీ అయ్యే అవకాశం ఉంది.
",no
20948,"తొలుత ఒకరు,ఆమెను కాపాడేందుకు మరో ఇద్దరు నీట మునిగిపోతుంటే హతాశురాలైంది",no
6545,"ఈ మ్యాచ్‌లో టాస్‌ వివాదాస్పదంగా మారింది.
",no
33314,2016లో రిలీజ్‌ అయిన జనతా గ్యారేజ్‌లో కూడా ఎన్టీఆర్‌ స్టూడెంట్‌గా నటించాడు.,no
22709,"మహబూబ్‌నగర్ జిల్లాలో 14 ఎంపీపీలలో టీఆర్‌ఎస్ 11, కాంగ్రెస్ ఒకటి గెలుచుకుంది",no
33775,"అయితే ఇప్పటికే వీరిద్దరు బ్రూస్‌లీ, ధ _x005F_x007f_వ సినిమాల్లో కలిసి నటించారు.",no
454,విస్డన్‌ క్రికెటర్స్‌ ఆల్మ నాల్‌లో ఎంపిక అవ్వడం కోహ్లికి వరుసగా ఇది మూడోసారి.,no
23919,"ప్రమాణస్వీకారం కానీ, అధికారాలు తీసుకోవడం కానీ,  ఒక ఆఫీస్ కానీ ఏమీ వుండవు",no
1366,జాదవ్‌ ఫిట్‌.,no
30192,బన్నీని ప్రశంసల్లో ముంచెత్తిన షారుఖ్‌.,no
13259,"తద్వారా ఆ ప్రాంతం పూర్తిగా సెక్యూరిటీ జోన్‌లోకి వచ్చేసింది.
",no
8201,"అందుకు సరైన సమయమేదో అతడికి తెలుసు.
",no
30123,తాజాగా ఆ జాబితాలో మయాళి ముద్దుగుమ్మ మాళవిక నాయర్‌ కూడా చేరింది.,no
17959,"మంగ‌ళ‌వారం త‌న నివాసంలో ఆయ‌న మీడియాలో మాట్లాడుతూ  పవన్ కళ్యాణ్ ఏనాడు రాజకీయాలకు సంబంధించి తనతో చర్చించిన దాఖలాలు లేవని, క‌నీసం  నా సూచనలు వినేందుకు కూడా తనకు అపాయింట్మెంట్ కూడా ఇవ్వలేదని మండి ప‌డ్డారు.
",no
19470,హువావేకు అమెరికాలో కార్యకాలాపాల కొనసాగింపు కోసమంటూ అమెరికా వాణిజ్య శాఖ 90 రోజుల తాత్కాలిక లైసెన్స్‌ జారీ చేసింది,no
6195,"స్పిన్నర్లు కట్టుదిట్టమైన బౌలింగ్‌ చేయడంతో 161 పరుగుల లక్ష్యాన్ని కాపాడుకుని ఖాతోలో మరో విజయం చేర్చుకుంది.
",no
13395,"లక్ష్మీకాంతం అభినందించారు.
",no
383,కౌంటీ క్రికెట్‌కు రహానే.,no
8929,"అయితే ఇది బీసీసీఐ విధాన నిర్ణయం.
",no
7429,"ఆరంభమే డల్.
",no
10830,ఆదివారం మ్యాచ్‌లో కోహ్లి స్వీయ తప్పిదం కారణంగా అతని వికెట్‌ను చేజార్చుకున్నాడు,no
13649,"దివంగత సీఎం, తన తండ్రి వైఎస్ రాజశేఖర్ రెడ్డికి నివాళులు అర్పించనున్నారు.
",no
16216,"ఉగ్రవాద చర్యలపై కఠినంగా వ్యవహరిస్తామని స్పష్టం చేశారు.
",no
28708,"మాఫియాతో చేతులు కలిపి హీరోపై పగ తీర్చుకోవాలని చేసే యత్నాలు సిల్లీగా అనిపిస్తాయి.
",no
31198,అఖిల్‌కు జోడీగా ఈ చిత్రంలో నిధి అగర్వాల్‌ హీరోయిన్‌గా నటించింది.,no
31699,టైటిల్‌ లోగో లోనూ: వెనక ఊసరవెల్లి చర్మం లాంటి డిజైన్‌ ఉంది.,no
2183,పటిష్ట బౌలింగ్‌ ఉన్న న్యూజిలాండ్‌ను గెలవా లంటే దక్షిణాఫ్రికా బ్యాట్స్‌మెన్‌ భారీ స్కోర్లు సాధించాల్సిందే.,no
17576,"గత ప్రభుత్వంలో మహిళలకు ఎలాంటి భద్రత లేదని విమర్శలు వచ్చాయని.
",no
17084,"కడప జిల్లా కొండాపురానికి చెందిన జ‌వ‌హ‌ర్ రెడ్డి 1990 ఐఏఎస్ బ్యాచ్‌కు చెందిన అధికారి.
",no
28837,"ద్వితీయార్థం ఎమోషనల్‌ సీన్స్‌తో భారంగా సాగుతుంది.
",no
2589,ఈ క్రమంలో అర్ధసెంచరీ పూర్తి చేసుకున్న అనంతరం దీప్తి శర్మ కూడా పీటర్సన్‌ బౌలింగ్‌లోనే వెనుదిరిగింది.,no
13714,"వైద్యులు అతనికి ఎక్స్‌రే పరీక్షలు నిర్వహించారు.
",no
34954,"థ్రిల్లర్‌ జోనర్‌లో తెరకెక్కిన ఈ సినిమాలో ఆయుష్మాన్‌ ఖురానా ఒక అంధుడి పాత్రలో నటించాడు.
",no
2481,ఈ మ్యాచ్‌ను గెలవడానికి ఆసీస్‌కు పూర్తి అర్హత ఉందనే విషయాన్ని ఒప్పుకోవాలి.,no
19951,"వ్యవసాయం, మాన్యుఫ్యాక్చరింగ్‌ రంగాల్లో వృద్ధిరేటు బాగా తగ్గిందని సీఎస్‌ఓ వెల్లడించింది",no
23088,రీసెంట్ గా కోమటిరెడ్డి బీజేపీ తీర్థం పుచ్చుకోబోతున్నారనే కోణంలో హనుమంతరావు ఈ కామెంట్స్ చేసినట్లు తెలుస్తుంది,no
5330,"గతంలో ప్రపంచకప్‌ అందుకున్న జట్ల బలాబలాలు ఈసారి ఎలా ఉన్నయో ఓ సారి పరిశీలిస్తే.
",no
9133,"ఉప్పల్‌లోని రాజీవ్‌ గాంధీ ఇంటర్నేషనల్‌ స్టేడియం కెపాసిటీ 25వేలు ఉండగా ముందుగా టిక్కెట్‌ కొనుక్కున్న వారికీ రూ:500కే టిక్కెట్‌ అమ్ముతున్నట్లు ట్విట్టర్‌లో ప్రకటించింది.
",no
16098,"రెండున్న‌ర ఏళ్ల త‌ర్వాత మంత్రి వ‌ర్గం పున‌ర్ వ్య‌వ‌స్థీక‌ర‌ణ ఉంటుంద‌ని తేల్చి చెప్పారు జ‌గ‌న్ కొత్త అమాత్యులు రాజీనామాల‌కు సిద్దంగా ఉండాల‌ని, ఆ త‌ర్వాత వారంతా పార్టీ బ‌లోపేతానికి కృషి చేయాల‌ని కోరారు.
",no
29664,టీజర్‌ని వీలైనంత ఆసక్తి రేపెలా కట్‌ చేసే ప్రయత్నం గట్టిగా జరిగింది.,no
24247,అవినీతికి పాల్పడితే వదిలేది లేదని దేవాదాయశాఖ మంత్రి వెల్లంపల్లి శ్రీనివాస్ అన్నారు,no
20769,"ఆ టీనేజి బాలిక 16 తరచూ మొబైల్‌ ఫోన్‌తోనే గడుపుతుండటంతో ఈ విషయమై ఆమెకు, ఆమె తండ్రి మహమ్మద్‌ మన్సూరీకి మధ్య వాగ్యుద్ధం జరిగింది",no
4853,రోహిత్‌ స్థానంలో విహార.,no
22760,టీఆర్‌ఎస్పీలో కాంగ్రెస్ శాసనసభా పక్షాన్ని విలీనాన్ని కోరుతూ 12 మంది ఎమ్మెల్యేల సంతకాలతో కూడిన తీర్మాన ప్రతిని కేటీఆర్‌కు చూపించారు,no
4880,374 పరుగుల భారీ ఛేదనలో కూడా కేవలం 12 పరుగుల తేడాతో ఓడిపోయారు’ అని గుంగూలీ తెలిపాడు.,no
4983,"మొత్తంగా టెస్టులు, వన్డేలు, టీ20లు కలిపి అత్యధిక ఔట్లలో పాలుపంచుకున్న వికెట్‌ కీపర్‌గా మార్క్‌ బౌచర్‌ (998), గిల్‌క్రిస్ట్‌ (905) తర్వాత మూడో స్థానంలో ఉన్నాడు.
",no
23707,రాజశేఖర్ రెడ్డి మరణం తర్వాత జగన్‌ వెంట ఉన్నారు,no
25285,త‌న చొక్కా విప్పి సిక్స్ ప్యాక్ చూసించేశాడు,no
11617,"తెలంగాణలో టీడీపీకి అడ్రస్సే లేకుండా పోయిందన్నారు.
",yes
18101,"1,300 మెగావాట్ల విద్యుతుత్పత్తి లక్ష్యంతో నిర్మించిన ఈ ప్రాజెక్ట్‌ ప్రస్తుతం విద్యుతుత్పత్తి కొనసాగిస్తోంది.
",no
24510,ఆంధ్రప్రదేశ్ అసెంబ్లీలో జనసేన ఏకైక ఎమ్మెల్యే రాపాక వరప్రసాద్ ఈ రోజు సభలో సంచలన వ్యాఖ్యలు చేశారు,no
23902,మొన్నటి ఎన్నికల్లో గుంటూరు జిల్లా ప్రత్తిపాడు నియోజకవర్గం నుంచి జనసేన పార్టీ టిక్కెట్‌పై పోటీ చేసి రావెల ఓడిపోయారు,no
19258,"ఫలితాలను మనీ, మెషిన్‌ ఈవీఎం, మీడియా శాసించాయని రాజకీయ విశ్లేషకులు అభిప్రాయపడుతున్నారు",no
19437,రెండోసారి అధికారంలోకి వచ్చిన నరేంద్రమోడీ ప్రభుత్వంపై భారత రియల్‌ ఎస్టేట్‌ రంగం భారీ ఆశలు పెట్టుకొంది,no
14823,"ఆ తర్వాత మరెప్పుడూ రామ్‌గోపాల్‌ వర్మ ఈ విషయంపై స్పందించ లేదు.
",no
27640,మరదలిపై అపారమైన ప్రేమని పెంచుకుని ఆమే లోకంగా బ్రతుకుతున్న కథానాయకుడు,no
25361,పూరి కొత్త సినిమాకీ లీకేజీల గోల త‌ప్ప‌లేదు,no
33877,"శ్రీకృష్ణరాయబారం నాటకాన్ని వందలసార్లు ప్రదర్శించి, రంగస్థలంపై ఉన్న ప్రేమను చాటుకున్నారు.",no
7084,"సిడ్నీ : టీమిండియా పరుగుల యంత్రం, కెప్టెన్‌ విరాట్‌కోహ్లిని ఎలా అడ్డుకోవాలో చెప్పాడు ఆసీస్‌ మాజీ స్పిన్నర్‌ షేన్‌వార్న్‌.
",no
16420,"ఈ స‌డ‌లింపుతో ముఖ్య‌మంత్రి తో స‌హా మంత్రులంద‌రూ ఫ‌ణి తుఫాన్ స‌హాయ కార్య‌క్ర‌మాల‌లో నేరుగా పాల్గొనవ‌చ్చు.
",no
15685,"చంద్రగిరి :  చిత్తూరు జిల్లాలోని చంద్రగిరి నియోజకవర్గంలో వైసీపీ అభ్యర్థి చెవిరెడ్డి భాస్కర్ రెడ్డికి చేదు అనుభవం ఎదురైంది.
",no
4789,"ఆసీస్‌ బౌలర్లలో ఆడం జంపా, స్టోయినిస్‌ రెండేసి వికెట్లు పడగొట్టారు.",no
350,ఆయన కుటుంబ సభ్యులకు తన ప్రగాఢ సానుభూతిని తెలిపారు.,no
6344,"దాంతో ఏక కాలంలో రెండు ఐసీసీ అవార్డులు మంధాన సొంతమయ్యాయి.
",no
33744,"ఇంతకుముందు తెలుగమ్మాయి, ప్రముఖ నటి సిల్క్‌ స్మిత జీవిత కథనూ సినిమాగా తెరకెక్కించి బాలీవుడ్‌ లేడీ డైనమెట్‌ ఏక్తా కపూర్‌ 100 కోట్లు ఆర్జించిన విషయం తెలిసిందే.",no
22806,10న దోస్త్ తొలి జాబితా,no
17349,"ఉండవల్లిలో జరిగిన పార్టీ శాసనసభాపక్ష సమావేశంలో మాట్లాడుతూ, ఆయన ఈ వ్యాఖ్యలు చేశారు.
",no
33649,"ఆది హీరోగానే కాకుండా క్యారెక్టర్‌ ఆర్టిస్టుగా, విలన్‌గా కూడా నటిస్తున్నాడు.",no
34716,జర్నలిజం బ్యాక్‌డ్రాప్‌ లో యథార్ధ సంఘటనల ఆధారంగా ఈ సినిమా రూపొందుతోంది.,no
15886,"ఎమ్మెల్యేలు ఎవరైనా సరే.
",no
20677,అక్కడ చికిత్స పొందుతూ గురువారం రాత్రి మృతి చెందింది,no
16812,"అనంతరం సాయంత్రం 5:30 గంటలకు ఆలయానికి చేరుకుంటారు.
",no
28267,"హీరో హీరోయిన్‌ల మధ్య ప్రేమ సన్నివేశాల విషయంలోనూ ఇంకాస్త దృష్టి పెట్టాల్సింది.
",no
24672,"జాదవ్ పూర్ కోల్ కతా దక్షిణప్రాంతం.
",no
11210,"మీరు, మీ మంత్రిమండలి ప్రజల ఆకాంక్షలకు అనుగుణంగా సుపరిపాలనే ధ్యేయంగా ముందడుగు వేస్తారని నా గట్టి నమ్మకం.
",no
26376,"కార్తీక్ ఆనంద్, షాలిని, మున్నా, డింపుల్ హయతి ప్రధాన పాత్రల్లో ప్రశాంత్ తాత నిర్మిస్తోన్న చిత్రం -యురేక",no
1683,ఇంగ్లండ్‌ జట్టులో కొన్ని మార్పులు జరుగవచ్చు.,no
9728,"ఈనాడు, హైదరాబాద్‌: తెలంగాణ త్రోబాల్‌ సంఘం ఆధ్వర్యంలో మహిళలకు సెలెక్షన్స్‌ నిర్వహించనున్నారు",no
6702,"ఈ టోర్నీలో మొత్తం తొమ్మిది ఇన్నింగ్స్‌లో 421 పరుగులతో టోర్నీలో అత్యధిక పరుగులు చేసిన క్రికెటర్‌గా నిలిచింది.
",no
285,సోషల్‌ మీడియా వేదికగా చివాట్లు పెడుతున్నారు.,yes
7239,"ప్రస్తుతం ఈ ట్వీట్‌ నెట్టింట్లో తెగ హల్‌చల్‌ చేస్తోంది.
",no
16336,"ప్రమాద సమయంలో బాయిలర్‌ సమీపంలో ఎవరూ లేకపోవడంతో ప్రాణ నష్టం తప్పింది.
",no
1601,ప్రస్తుతం ఆయన తన కడుపునింపుకోవడానికి వీధుల్లో ఐస్‌క్రీములు అమ్ముకుంటున్నాడు.,no
20827,హసన్‌పర్తి మండలం నాగారం క్రాస్‌ బస్టాండ్‌ సమీపంలోకి రాగానే తెల్లవారుజామున 4 గంటల సమయంలో ఇతని ద్విచక్రవాహనాన్ని వెనుక నుంచి గుర్తుతెలియని వాహనం ఢీకొంది,no
8089,"క్షమశిక్షణతో కూడిన శిక్షణే ఏ సమయంలోనైనా బౌట్‌కు సిద్ధంగా ఉండేలా చేస్తుందని వెల్లడించింది మేరీ.
",no
30639,అక్కినేని మనవరాలా? మజాకానా? అనిపించుకుంది కదా సుప్రియ!! లుక్‌ గురించి పక్కన పెడితే ఈ పాత్ర గురించి సుమంత్‌ ఇంటర్వ్యూలో మాట్లాడారు.,no
13154,"ఈ మేర‌కు తిరుప‌తిలోని టిటిడి ప‌రిపాల‌నా భ‌వనంలో గ‌ల జెఈవో కార్యాల‌యంలో మంగ‌ళ‌వారం పుష్ప‌యాగం గోడ‌ప‌త్రిక‌ల‌ను ఆవిష్క‌రించారు.
",no
8428,"సారథి రోహిత్‌ శర్మ (23, 22 బంతుల్లో 4×4) జోరుమీద కనిపించాడు.
",no
23679,ఈ ఓటమి తో తెలుగుదేశం పార్టీ నేతల్లో ఉత్సహం తగ్గింది,no
2366,నా జట్టు గెలుపు కోసం ప్రతి బంతి ఆడటం.,no
24559,"ఓవైపు సీఎం జగన్, మరోవైపు ప్రతిపక్ష నేత చంద్రబాబు పరస్పరం వాగ్బాణాలు సంధించుకోవడంతో సభలో సెగలుపొగలు రగులుతున్నాయి",yes
31567,టాలీవుడ్‌లో ఇలాంటివి చాలా అరుదుగా జరుగుతాయి.,no
10691,బ్యాట్స్‌మన్‌ తనకు తాను వికెట్లను కొడితే హిట్‌ వికెట్‌గా పరిగణిస్తారు,no
29067,అంగరంగ వైభవంగా జరగనున్న ఈ వేడుకకు 300 మందికి పైగా అతిథులు హాజరుకానున్నట్లు సమాచారం.,no
15713,"న‌రేంద్ర‌మోదీ రెండో సారి భారీ మెజార్టీతో గెలిచి ప్ర‌ధాన‌మంత్రిగా ప‌ద‌వీ బాధ్య‌త‌లు  స్వీక‌రించాక అనూహ్యంగా  పాత కేబినెట్‌లోని 11 మంది  నేత‌లకు మొండి చెయ్యి చూపారు.
",no
17221,"కళాశాలలో గాత్రం, వీణ, వేణువు, వయోలిన్‌, నాదస్వరం, డోలు, భరతనాట్యం, కూచిపూడి నృత్యం, హరికథ, మృదంగం, ఘటం విభాగాలున్నాయి.
",no
32330,అతని కోసం నేను పాట పాడాను’ అని అన్నారు.,no
28671,"బ్యాక్‌గ్రౌండ్‌ స్కోర్‌ సినిమా స్థాయిని పెంచింది.
",no
1592,విజరుశంకర్‌(25) బౌండరీ లైన్‌ వద్ద అక్షర్‌ పటేల్‌కు దొరికిపోయాడు.,no
15629,"చంద్రన్న బీమా వల్ల నాలుగేళ్లలో రూ:2,348కోట్ల ప్రయోజనం కలిగిందని ముఖ్యమంత్రి చంద్రబాబు వివరించారు.
",no
11714,"దేశంలోనే ఆదర్శవంతమైన విధానాలు అమలు చేయాల్సిన అవసరం ఉందని తెలిపారు.
",no
13070,"గ‌తేడాది బ‌డ్జెట్‌-వినియోగం, ప్ర‌స్తుత ఓటాన్ ఎకౌంట్ బ‌డ్జెట్ కేటాయింపులు, ప్ర‌స్తుత అర్ధిక సంవ‌త్స‌‌రానికి అవ‌స‌ర‌మైన బ‌డ్జెట్‌పై పూర్తి వివ‌రాలు అందుబాటులో ఉండాల‌న్నారు.
",no
21642,రాష్ట్రాన్ని అప్పుల ఊబిలోకి నెట్టివేసిన ఘనత కేసీఆర్‌దేనని అన్నారు,no
18094,"ఆ త‌రువాత సాయంత్రం 5 నుండి 6 గంట‌ల వ‌ర‌కు ఊంజ‌ల్‌సేవ‌, రాత్రి 7 నుండి 8 గంట‌ల వ‌ర‌కు పెద్ద‌శేష‌వాహ‌న సేవ జ‌రుగ‌నున్నాయి.
",no
4609,ఈ దశలో క్రీజులోకి వచ్చిన స్టోయినీస్‌ స్కోరును మెల్లగా ముందుకు జరిపాడు.,no
18162,"ఎన్నికల ఫలితాల్లో ఇప్పటివరకు వైసీపీ 100 సీట్లు గెలిచి మ.
",no
9119,"ఇక మహిళల సింగిల్స్‌లో జపాన్‌ క్రీడాకారిణి అయా ఒహోరీపై 22-20, 21-12 తేడాతో గెలిపొందింది.
",no
23098,రాహుల్ ఉండే పార్టీని నడిపించాలని విజ్ఞప్తి చేశారు,no
31373,ఆర్‌ ఎక్స్‌ 100 ప్రభావమో ఏమో కానీ హిప్పీ చిత్రం జనాలకు ఆశించిన స్థాయిలో కనెక్టవ్వలేదు.,no
5489,"గాయంతో దూరమైన స్టోయినిస్‌ తిరిగి జట్టులో చేరితే బౌలింగ్‌ విభాగం మరింత బలంగా మారనుంది.
",no
32747,అయితే ఇక్కడో కనెక్షన్‌ కనిపిస్తోంది.,no
13734,"వారికి నిపుణుల పర్యవేక్షణలో వైద్య పరీక్షలు నిర్వహిస్తున్నామని రాష్ట్ర ఆరోగ్య‌శాఖ మంత్రి తెలిపారు.
",no
28532,"? దర్శకుడిగా తొలి ప్రయత్నంలో రాహుల్ రవీంద్రన్‌ సక్సెస్‌ అయ్యాడా.
",no
32869,కన్నడ హిట్‌ ‘యూటర్న్‌’కు తెలుగు రీమేక్‌ ఇది.,no
4883,ఇదంతా పాక్‌ బౌలింగ్‌ లైనప్‌తోనే సాధ్యమైంది.,no
534,"ఈ ఎంపికకు కొంతకాలం ముందు ఐసీసీ, క్లైరీ పొలోసక్‌ అనే మహిళా అంపైర్‌ను అంతర్జాతీయ పురుషుల వన్డేకు అంపైరింగ్‌ బాధ్యతలు నిర్వహించేందుకు ఎంపిక చేసిన విషయం తెలిసిందే.",no
10848,పాక్‌పై వరల్డ్‌కప్‌లో అత్యధిక వ్యక్తిగత పరుగుల రికార్డు సైమండ్స్‌ ఆస్ట్రేలియా పేరిట ఉంది,no
33637,‘రెమో’ లాంటి హిట్‌ మూవీలో నటించింది కీర్తి.,no
22625,వ్యవసాయ సమస్యలపై ఉద్యమం,no
24051,"ఫుడ్‌, బెవ‌రేజ్ స‌ర్టిఫికేట్ కోర్సు ఆరు నెల‌ల‌కాలం వుంటుంద‌ని, ఇందులో ఐదు నెల‌లు రెస్టారెంట్‌, బార్ స‌ర్వీస్ నేర్పించి ఒక నెల‌రోజుల పాటు ప్ర‌ముఖ ఫైవ్‌స్లార్ హోట‌ల్‌లో శిక్ష‌ణ ఇవ్వ‌డం జ‌రుగుతుంద‌న్నారు",no
6313,"ఫామ్‌లేమితో జట్టులో చోటు కోల్పోయి భారత్‌-ఏ తరపున ఆడివచ్చిన రాహుల్‌ ఆస్ట్రేలియాతో రెండు టీ20ల్లో అద్భుతంగా రాణించాడు.
",no
31889,ఒక సినిమాలో మెయిన్‌ విలన్‌గా చేసే స్టేటస్‌ ఉన్న నలుగురు నటులు ఈ ఒక్క సినిమాలోనే విలన్లుగా నటించారని.,no
9710,ఫైనల్లో డీఓ విజయవాడ 53 పరుగుల ఆధిక్యంతో డీఓ కరీంనగర్‌పై గెలుపొందింది,no
11505,"చిత్తూరు జిల్లా చంద్రగిరి అసెంబ్లీ నియోజకవర్గంలో రీపోలింగ్ జరపాలని కేంద్ర ఎన్నికల సంఘం నిర్ణయించింది.
",no
13840,"శనివారం ఉదయం విజయవాడలోని ప్రెస్‌మీట్‌లో ఎపిసిసి జనరల్‌ సెక్రటరీ గౌతమ్‌ మాట్లాడుతూ:ఈ సమీక్షలకు ఎపి వ్యవహారాల ఇంచార్జీ ఉమెన్‌ చాంది, రఘువీరా రెడ్డి లు విచ్చేస్తారని తెలిపారు.
",no
26953,దీపిక ఈ కథకు ఒకే చెప్పడం దగ్గర్నుంచే బాలీవుడ్‌లో విపరీతమైన ఆసక్తి కనిపిస్తోంది,no
33915,మేకింగ్‌ లో ఎక్కడా కాంప్రమైజ్‌ అవ్వకుండా క్వాలిటీ చిత్రాన్ని మా బ్యానర్‌ ద్వారా అందిస్తాము.,no
24482,చిరుత దాడులు పునరావృత్తం కాకుండా ఉండేందుకు పలు సూచనలు చేశారు,no
27277,హిప్పీ తరువాత గుణ 369 సినిమా చేస్తున్నా,no
3831,"ఆస్ట్రేలియా, న్యూజిలాండ్‌ పర్యటనల్లో టీమిండియా వన్డే సిరీస్‌లను కైవసం చేసుకున్న విషయం తెలిసిందే.",no
